,out_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,week,hour,min
0,2016061820000b,2018-01-20 10:13:43,2018-01-20 10:19:04,33.783415000000005,111.60366,33.779810999999995,111.60588500000001,5,10,13
1,2016061820000b,2018-02-12 17:40:51,2018-02-12 17:58:13,34.810763,115.549264,34.814875,115.549374,0,17,40
2,2016061820000b,2018-02-13 14:52:24,2018-02-13 15:24:33,34.640284,115.539024,34.813136,115.559243,1,14,52
3,2016061820000b,2018-02-13 17:23:08,2018-02-13 17:39:02,34.81828,115.54203899999999,34.813140999999995,115.55921699999999,1,17,23
4,2016061820000b,2018-02-13 18:06:02,2018-02-13 19:02:51,34.813278000000004,115.55926000000001,34.786126,115.87436100000001,1,18,6
5,2016061820000b,2018-02-13 20:58:36,2018-02-13 21:58:38,34.785990000000005,115.87425900000001,34.813162,115.55919499999999,1,20,58
6,2016061820000b,2018-02-14 08:54:02,2018-02-14 09:22:47,34.812824,115.55927199999999,34.641016,115.53606599999999,2,8,54
7,2016061820000b,2018-02-16 14:33:23,2018-02-16 16:19:27,34.803362,115.839409,35.822282,116.36721399999999,4,14,33
8,2016061820000b,2018-02-16 16:33:56,2018-02-16 18:34:56,35.822863,116.367453,36.845625,117.20966299999999,4,16,33
9,2016061820000b,2018-02-17 14:41:30,2018-02-17 17:12:11,36.204509,116.45974199999999,34.786001,115.87443,5,14,41
10,2016061820000b,2018-02-17 20:48:19,2018-02-17 21:16:15,34.817747,115.741368,34.812996000000005,115.55923,5,20,48
11,2016061820000b,2018-02-19 10:46:04,2018-02-19 11:52:58,34.812103,115.561866,34.799399,115.906429,0,10,46
12,2016061820000b,2018-02-19 19:21:44,2018-02-19 19:48:37,35.514316,111.32646799999999,35.62182,111.384703,0,19,21
13,2016061820000b,2018-02-20 18:53:04,2018-02-20 19:03:41,35.532994,111.34603700000001,35.533458,111.34591,1,18,53
14,2016061820000b,2018-02-21 18:32:12,2018-02-21 18:49:46,35.533424,111.346057,35.53325,111.34593999999998,2,18,32
15,2016061820000b,2018-02-22 11:46:17,2018-02-22 12:05:59,35.512279,111.330757,35.533435,111.345904,3,11,46
16,2016061820000b,2018-02-22 11:43:06,2018-02-22 12:09:22,34.640028,115.54586599999999,34.813235,115.55921799999999,3,11,43
17,2016061820000b,2018-02-22 15:32:44,2018-02-22 16:03:38,35.53349199999999,111.34589199999999,35.533293,111.345881,3,15,32
18,2016061820000b,2018-02-22 17:55:40,2018-02-22 18:30:15,34.855628,115.56068,34.813223,115.559226,3,17,55
19,2016061820000b,2018-02-23 14:40:43,2018-02-23 14:59:27,34.818474,115.554576,34.823667,115.54172700000001,4,14,40
20,2016061820000b,2018-02-23 17:04:53,2018-02-23 17:49:17,34.823534,115.541954,34.829786999999996,115.567187,4,17,4
21,2016061820000b,2018-02-23 18:08:16,2018-02-23 19:02:28,34.829791,115.567352,34.785981,115.874444,4,18,8
22,2016061820000b,2018-02-23 19:19:17,2018-02-23 19:27:50,34.786183,115.87443600000002,34.800156,115.90501100000002,4,19,19
23,2016061820000b,2018-02-23 19:51:13,2018-02-23 19:53:45,34.800144,115.905588,34.805824,115.90649499999999,4,19,51
24,2016061820000b,2018-02-23 20:20:05,2018-02-23 20:21:51,34.805704999999996,115.90652299999999,34.800136,115.90505800000001,4,20,20
25,2016061820000b,2018-02-23 21:47:58,2018-02-23 21:57:22,34.79992,115.904802,34.786083000000005,115.87433100000001,4,21,47
26,2016061820000b,2018-02-23 22:23:25,2018-02-23 23:06:34,34.785956,115.87423000000001,34.813144,115.559183,4,22,23
27,2016061820000b,2018-02-24 08:22:57,2018-02-24 08:51:52,34.812832,115.559228,34.640971,115.53602,5,8,22
28,2016061820000b,2018-02-24 15:53:27,2018-02-24 16:30:52,34.640361,115.536748,34.813186,115.5592,5,15,53
29,2016061820000b,2018-02-26 08:15:52,2018-02-26 08:46:20,34.813406,115.559054,34.641034999999995,115.536002,0,8,15
30,2016061820000b,2018-02-26 17:37:44,2018-02-26 18:10:08,34.640287,115.53829499999999,34.813164,115.559225,0,17,37
31,2016061820000b,2018-02-27 08:23:18,2018-02-27 08:53:27,34.813394,115.559032,34.641016,115.536,1,8,23
32,2016061820000b,2018-02-27 10:35:39,2018-02-27 11:38:04,34.641016,115.53618200000001,34.917504,115.59091200000002,1,10,35
33,2016061820000b,2018-02-27 15:05:57,2018-02-27 15:51:17,24.96937,102.76570500000001,25.047446,102.887103,1,15,5
34,2016061820000b,2018-02-27 16:06:30,2018-02-27 16:43:48,34.8134,115.55903500000001,34.640971,115.536006,1,16,6
35,2016061820000b,2018-02-28 14:03:37,2018-02-28 15:17:20,34.827475,115.550779,35.23226,115.487122,2,14,3
36,2016061820000b,2018-02-28 16:08:34,2018-02-28 17:44:06,35.232305,115.48723100000001,34.812306,115.55930900000001,2,16,8
37,2016061820000b,2018-03-01 08:18:00,2018-03-01 08:47:46,34.813340999999994,115.558957,34.641015,115.536024,3,8,18
38,2016061820000b,2018-03-03 08:44:30,2018-03-03 09:17:38,34.813408,115.558683,34.641023,115.536051,5,8,44
39,2016061820000b,2018-03-03 17:36:16,2018-03-03 18:18:21,34.640335,115.53667,34.837879,115.55024499999999,5,17,36
40,2016061820000b,2018-03-04 08:52:58,2018-03-04 09:25:27,34.812924,115.559243,34.641544,115.53644299999999,6,8,52
41,2016061820000b,2018-03-04 18:31:54,2018-03-04 18:48:04,34.813266,115.559275,34.830299,115.57346399999999,6,18,31
42,2016061820000b,2018-03-05 17:06:10,2018-03-05 17:42:35,34.64034,115.536846,34.815565,115.57118899999999,0,17,6
43,2016061820000b,2018-03-06 17:06:07,2018-03-06 17:45:12,34.640622,115.536404,34.810224,115.549029,1,17,6
44,2016061820000b,2018-03-09 05:53:40,2018-03-09 06:23:32,34.812975,115.55917099999999,34.602975,115.612738,4,5,53
45,2016061820000b,2018-03-09 16:36:09,2018-03-09 17:06:24,34.640370000000004,115.53641100000002,34.805715,115.551915,4,16,36
46,2016061820000b,2018-03-11 18:17:23,2018-03-11 18:47:59,34.640879999999996,115.536372,34.813196999999995,115.55923100000001,6,18,17
47,2016061820000b,2018-03-11 19:46:55,2018-03-11 20:01:31,34.81349,115.55929499999999,34.850888,115.573994,6,19,46
48,2016061820000b,2018-03-12 16:30:49,2018-03-12 17:08:06,34.640591,115.53641100000002,34.818071,115.54463500000001,0,16,30
49,2016061820000b,2018-03-15 08:10:28,2018-03-15 08:41:31,34.812996000000005,115.559223,34.640933000000004,115.53615,3,8,10
50,2016061820000b,2018-03-15 18:07:24,2018-03-15 18:37:41,34.640765,115.536341,34.813152,115.55923999999999,3,18,7
51,2016061820000b,2018-03-15 18:51:49,2018-03-15 19:03:25,34.813438,115.55923100000001,34.816396000000005,115.549283,3,18,51
52,2016061820000b,2018-03-19 17:26:47,2018-03-19 17:58:09,34.640251,115.539841,34.813155,115.55923899999999,0,17,26
53,2016061820000b,2018-03-20 08:13:14,2018-03-20 08:42:59,34.813383,115.558975,34.641069,115.536029,1,8,13
54,2016061820000b,2018-03-20 13:31:09,2018-03-20 14:05:34,34.640710999999996,115.536375,34.823638,115.54204399999999,1,13,31
55,2016061820000b,2018-03-22 22:11:11,2018-03-22 22:19:22,34.782287,116.08729699999999,34.794121999999994,116.074578,3,22,11
56,2016061820000b,2018-03-22 22:34:33,2018-03-22 23:47:27,34.795669000000004,116.07503999999999,34.813132,115.559196,3,22,34
57,2016061820000b,2018-03-24 17:19:49,2018-03-24 17:53:11,34.640339000000004,115.53669,34.813142,115.55927,5,17,19
58,2016061820000b,2018-03-25 08:36:38,2018-03-25 09:10:55,34.812984,115.55923,34.634637,115.51167199999999,6,8,36
59,2016061820000b,2018-03-25 11:11:04,2018-03-25 11:46:00,34.64089,115.536375,34.824982,115.548635,6,11,11
60,2016061820000b,2018-03-25 13:48:32,2018-03-25 13:58:27,34.824915000000004,115.548973,34.81315,115.559226,6,13,48
61,2016061820000b,2018-03-25 18:14:42,2018-03-25 19:22:41,34.81335,115.55934099999999,34.682697999999995,115.92353,6,18,14
62,2016061820000b,2018-03-25 19:42:17,2018-03-25 20:16:02,34.682749,115.92365900000001,34.78453,116.088715,6,19,42
63,2016061820000b,2018-03-25 21:21:23,2018-03-25 22:21:30,34.782632,116.086977,34.813147,115.559179,6,21,21
64,2016061820000b,2018-03-27 22:53:59,2018-03-27 23:48:45,34.782043,116.087672,34.813237,115.55918899999999,1,22,53
65,2016061820000b,2018-03-28 08:21:46,2018-03-28 08:51:43,34.812940000000005,115.559265,34.641042999999996,115.53596499999999,2,8,21
66,2016061820000b,2018-04-02 08:12:31,2018-04-02 08:42:24,34.813296,115.55891499999998,34.640905,115.53624099999999,0,8,12
67,2016061820000b,2018-04-02 09:30:23,2018-04-02 10:00:34,34.640823,115.536371,34.823614,115.54186599999998,0,9,30
68,2016061820000b,2018-04-03 08:32:35,2018-04-03 08:39:57,34.813356,115.559266,34.823654,115.54169399999999,1,8,32
69,2016061820000b,2018-04-04 18:03:15,2018-04-04 19:15:35,34.640595000000005,115.536305,34.786108,115.874393,2,18,3
