,r_key,out_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,week,hour,min
0,SDK-XJ_e4748693c603d2122da6efbc69c9b6d4,861661608018341,2018-03-05 21:42:34,2018-03-05 21:58:20,42.854795,93.483971,42.847095,93.553476,0,21,42
1,SDK-XJ_41cb461b9833df37f21fcd7f89da7c17,861661608018341,2018-03-06 10:27:58,2018-03-06 10:50:44,42.847018,93.553706,42.831578,93.490308,1,10,27
2,SDK-XJ_ec5e730eed8feb9e93f8d69ce0641a1a,861661608018341,2018-03-06 11:09:37,2018-03-06 11:54:16,42.83178,93.49184100000001,42.900648,93.503331,1,11,9
3,SDK-XJ_92f76aa6830dffaf4e836d313b047f60,861661608018341,2018-03-06 20:28:18,2018-03-06 20:46:33,42.903021,93.499564,42.847085,93.55351800000001,1,20,28
4,SDK-XJ_d84b45f13381607c30b3e83231a2e83f,861661608018341,2018-03-07 10:09:34,2018-03-07 10:24:44,42.847112,93.553657,42.90057,93.503348,2,10,9
5,SDK-XJ_d1f2e71070fb58f0d6a8cc0719734577,861661608018341,2018-03-07 20:20:26,2018-03-07 20:35:21,42.900802,93.503151,42.847099,93.553513,2,20,20
6,SDK-XJ_e5fb962d2c9861a132c484c348676cc7,861661608018341,2018-03-08 09:43:53,2018-03-08 09:57:01,42.846979,93.554736,42.900639,93.50330500000001,3,9,43
7,SDK-XJ_2b5b68ead705b9b87fe81211964f479d,861661608018341,2018-03-08 20:45:59,2018-03-08 21:00:49,42.900667,93.503116,42.847133,93.553555,3,20,45
8,SDK-XJ_e84cc802fe358c75ed3dc8cd8e587279,861661608018341,2018-03-09 10:06:10,2018-03-09 10:23:03,42.847164,93.553584,42.900588,93.50332399999999,4,10,6
9,SDK-XJ_584f374b227abdaae9dc6d12ca84a324,861661608018341,2018-03-09 20:23:45,2018-03-09 20:40:04,42.900736,93.503124,42.847085,93.553488,4,20,23
10,SDK-XJ_aa7951fff9f13b6e52f9bf22a42e3ed4,861661608018341,2018-03-10 10:10:24,2018-03-10 10:27:58,42.847103999999995,93.553673,42.90065300000001,93.50331,5,10,10
11,SDK-XJ_e8e977f7a2e5b0435bbf8e734f59ef1b,861661608018341,2018-03-10 20:05:02,2018-03-10 20:36:27,42.900739,93.503419,42.847113,93.553618,5,20,5
12,SDK-XJ_82f9e1bd0dbec20dea723105ae5d07bd,861661608018341,2018-03-11 10:16:18,2018-03-11 10:33:50,42.847099,93.553656,42.900607,93.503334,6,10,16
13,SDK-XJ_fc563268a16d76b323b8010f74978a49,861661608018341,2018-03-11 20:02:17,2018-03-11 20:17:51,42.897807,93.50099399999999,42.847097,93.553585,6,20,2
14,SDK-XJ_3e001d1bdf4e69232d39e3ec58b23215,861661608018341,2018-03-12 10:15:23,2018-03-12 10:31:24,42.847196999999994,93.553503,42.900696,93.503362,0,10,15
15,SDK-XJ_f394e40a088b85824780877da4ed31f0,861661608018341,2018-03-12 19:54:36,2018-03-12 20:26:25,42.900981,93.503403,42.847056,93.553405,0,19,54
