,r_key,out_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,week,hour,min
0,SDK-XJ_adace7bd75c63e0adcb9b132be55a5fe,861661608003141,2018-01-11 14:34:01,2018-01-11 14:39:46,38.447373999999996,106.328823,38.443831,106.331657,3,14,34
1,SDK-XJ_bc68701120be2c7f4c98c52b52239d5d,861661608003141,2018-01-12 13:23:22,2018-01-12 13:28:02,38.445706,106.335806,38.447394,106.32828500000001,4,13,23
2,SDK-XJ_bf143d3d3044dffb2590053fc13e0bf5,861661608003141,2018-01-12 14:51:27,2018-01-12 14:56:04,38.447523,106.32918899999999,38.44380200000001,106.33166999999999,4,14,51
3,SDK-XJ_ff3f4ed6e26474650121bbafa3b69d6d,861661608003141,2018-01-15 14:40:00,2018-01-15 14:44:36,38.447357000000004,106.328552,38.44377,106.33166999999999,0,14,40
4,SDK-XJ_126b13145cf916655d4c58946b40f02c,861661608003141,2018-01-16 12:38:09,2018-01-16 12:40:05,38.443984,106.33199099999999,38.445842999999996,106.33578,1,12,38
5,SDK-XJ_2a6d941418cdd667252671f529fb44ce,861661608003141,2018-01-16 13:01:18,2018-01-16 13:04:10,38.445898,106.33572,38.447348,106.32833500000001,1,13,1
6,SDK-XJ_9de9a63cedbf72c501630d06a5962836,861661608003141,2018-01-16 14:42:22,2018-01-16 14:46:31,38.447595,106.32924799999999,38.44378,106.331653,1,14,42
7,SDK-XJ_849c46591855bcc5b24ad5674cd144b8,861661608003141,2018-01-17 13:15:08,2018-01-17 13:19:08,38.445599,106.335692,38.44730300000001,106.32834799999999,2,13,15
8,SDK-XJ_c18aec6c1527f0145327f285b6d98fea,861661608003141,2018-01-17 14:39:45,2018-01-17 14:44:18,38.447417,106.32841200000001,38.443846,106.331554,2,14,39
9,SDK-XJ_6c63741ba8c4e42102e63362e9ab66a5,861661608003141,2018-01-18 13:26:28,2018-01-18 13:29:48,38.446013,106.335729,38.447348999999996,106.32833600000001,3,13,26
10,SDK-XJ_317307899bec5287f0913c7d6cffcaa7,861661608003141,2018-01-19 13:54:11,2018-01-19 13:57:50,38.446081,106.335838,38.447352,106.32833000000001,4,13,54
11,SDK-XJ_83470317d552ebb8eee8ba22ee7a95df,861661608003141,2018-01-19 14:43:53,2018-01-19 14:48:20,38.447302,106.328493,38.443793,106.331622,4,14,43
12,SDK-XJ_de14c91ef92b3f81199020aaa10ff267,861661608003141,2018-01-21 13:43:00,2018-01-21 13:45:59,38.443943,106.331972,38.44874,106.33291200000001,6,13,43
13,SDK-XJ_10a7f1e7f7fa3bbaa9f0592a1e142a48,861661608003141,2018-01-21 13:43:00,2018-01-21 13:48:10,38.443943,106.331972,38.451987,106.327399,6,13,43
14,SDK-XJ_6d7d9b2e96fccee92068af09bf3287b2,861661608003141,2018-01-21 14:11:15,2018-01-21 14:38:01,38.452341,106.32733400000001,38.500871000000004,106.29206599999999,6,14,11
15,SDK-XJ_fd02caf4cf77c8d692fd415bf2716400,861661608003141,2018-01-21 15:28:50,2018-01-21 16:12:28,38.500979,106.29161200000001,38.443607,106.320136,6,15,28
16,SDK-XJ_57fac718b3947bdd77d429dd790eab74,861661608003141,2018-01-21 17:15:58,2018-01-21 17:20:06,38.446567,106.32291399999998,38.448122999999995,106.32914299999999,6,17,15
17,SDK-XJ_c5488fc5c9dd85a8e837a16c2b6ee698,861661608003141,2018-01-21 18:18:51,2018-01-21 18:42:24,38.44824000000001,106.329357,38.446876,106.313949,6,18,18
18,SDK-XJ_01c1a72fdd228d64b2ac50770bd767b0,861661608003141,2018-01-21 20:56:43,2018-01-21 21:08:22,38.445979,106.31443700000001,38.443789,106.331626,6,20,56
19,SDK-XJ_4593f60ce6279bf6ad79bd7c9f275228,861661608003141,2018-01-23 12:53:20,2018-01-23 12:56:17,38.445948,106.33566100000002,38.447347,106.328296,1,12,53
20,SDK-XJ_2c567794311d7e50f16d2819ca890357,861661608003141,2018-01-23 14:55:32,2018-01-23 15:00:10,38.447325,106.328558,38.443803,106.331655,1,14,55
21,SDK-XJ_1796664a5eb6a247517e09c22e6b44f1,861661608003141,2018-01-25 12:21:14,2018-01-25 12:25:19,38.445667,106.33555,38.44725800000001,106.32831499999999,3,12,21
22,SDK-XJ_7365c5325175acc3c754c7a98ce3edf2,861661608003141,2018-01-25 14:56:36,2018-01-25 15:00:53,38.447353,106.328755,38.443813,106.331621,3,14,56
23,SDK-XJ_551816e3a8defc2be2e1b66f64d44539,861661608003141,2018-01-26 12:39:44,2018-01-26 12:43:04,38.445948,106.335729,38.447286,106.32828799999999,4,12,39
24,SDK-XJ_89ff71e666506ec4361548a66e5a6661,861661608003141,2018-01-26 14:44:48,2018-01-26 14:49:50,38.447385,106.32846799999999,38.443785999999996,106.33158799999998,4,14,44
25,SDK-XJ_a0760ec2a5c92bd2dd8ef76a4b27a085,861661608003141,2018-01-29 13:49:17,2018-01-29 13:53:43,38.445776,106.335733,38.447284,106.32826899999999,0,13,49
26,SDK-XJ_d2437cfeab06b1af91a001e70af97ff4,861661608003141,2018-01-29 14:42:35,2018-01-29 14:47:20,38.447348999999996,106.328521,38.443784,106.33164,0,14,42
27,SDK-XJ_a29541d83be015652214730cb8a144fb,861661608003141,2018-01-30 13:02:43,2018-01-30 13:06:33,38.445935999999996,106.335691,38.447307,106.32818400000001,1,13,2
28,SDK-XJ_3dae7776699470ddf34e245dacd571e0,861661608003141,2018-01-30 14:38:33,2018-01-30 14:43:01,38.447371000000004,106.32843700000001,38.443732000000004,106.331552,1,14,38
29,SDK-XJ_37ffdaccc038f8cf0b503fa0ba943626,861661608003141,2018-01-31 13:10:37,2018-01-31 13:13:47,38.445799,106.335812,38.447362,106.328352,2,13,10
30,SDK-XJ_92b1588d3505368b9a8b2a6921f2b782,861661608003141,2018-01-31 14:34:54,2018-01-31 14:39:36,38.447375,106.32863,38.4438,106.331572,2,14,34
31,SDK-XJ_216a71c75c195a4d58f666a0f94b322a,861661608003141,2018-02-01 13:08:17,2018-02-01 13:11:34,38.446092,106.33583600000001,38.447336,106.32836200000001,3,13,8
32,SDK-XJ_a7e51b683953a8e39b7622764182b762,861661608003141,2018-02-01 14:42:56,2018-02-01 14:47:01,38.447368,106.328625,38.443816999999996,106.33162800000001,3,14,42
33,SDK-XJ_0a3c59298bfc411f011979843c3ee066,861661608003141,2018-02-05 13:54:45,2018-02-05 13:58:18,38.445937,106.33576699999999,38.44732800000001,106.328374,0,13,54
34,SDK-XJ_eb54da4da5c4770636638fdd2854a7ea,861661608003141,2018-02-05 14:44:18,2018-02-05 14:48:27,38.447451,106.328471,38.443811,106.331604,0,14,44
35,SDK-XJ_088b3f246c16996f8eaf7cd5c253d01e,861661608003141,2018-02-06 14:06:21,2018-02-06 14:10:19,38.44575800000001,106.33573500000001,38.447295000000004,106.328207,1,14,6
